id,name,default,values
10,最短装備距離,0,0,50
10,最長装備距離,150,100,250
10,攻撃演算性能,50,0,100
10,攻撃限界EN率,30,0,100
10,攻撃時チャージ率,50,0,100
10,FCS異常時反応,OFF,ON,OFF
11,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
11,最短攻撃距離,100,50,150
11,最長攻撃距離,250,200,300
11,最短装備距離,100,50,150
11,最長装備距離,250,200,300
11,攻撃演算性能,60,0,100
11,攻撃限界EN率,30,0,100
11,攻撃時チャージ率,50,0,100
11,FCS異常時反応,OFF,ON,OFF
12,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
12,最短攻撃距離,200,150,250
12,最長攻撃距離,350,300,400
12,最短装備距離,200,150,250
12,最長装備距離,350,300,400
12,攻撃演算性能,70,0,100
12,攻撃限界EN率,30,0,100
12,攻撃時チャージ率,50,0,100
12,FCS異常時反応,OFF,ON,OFF
13,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
13,最短攻撃距離,300,250,350
13,最長攻撃距離,500,400,650
13,最短装備距離,300,250,350
13,最長装備距離,500,400,650
13,攻撃演算性能,80,0,100
13,攻撃限界EN率,30,0,100
13,攻撃時チャージ率,50,0,100
13,FCS異常時反応,OFF,ON,OFF
14,構え判定,判定なし,判定なし,射線
14,最短攻撃距離,0,0,50
14,最長攻撃距離,150,50,200
14,構え開始距離,150,100,300
14,構え解除距離,0,0,50
14,攻撃演算性能,50,0,100
14,FCS異常時反応,OFF,ON,OFF
15,構え判定,判定なし,判定なし,射線
15,最短攻撃距離,100,50,150
15,最長攻撃距離,250,200,300
15,構え開始距離,250,200,400
15,構え解除距離,100,0,150
15,攻撃演算性能,60,0,100
15,FCS異常時反応,OFF,ON,OFF
16,構え判定,判定なし,判定なし,射線
16,最短攻撃距離,200,150,250
16,最長攻撃距離,350,300,400
16,構え開始距離,350,300,500
16,構え解除距離,200,0,250
16,攻撃演算性能,70,0,100
16,FCS異常時反応,OFF,ON,OFF
17,構え判定,判定なし,判定なし,射線
17,最短攻撃距離,300,250,350
17,最長攻撃距離,500,400,650
17,構え開始距離,500,400,800
17,構え解除距離,300,0,350
17,攻撃演算性能,80,0,100
17,FCS異常時反応,OFF,ON,OFF
18,構え判定,判定なし,判定なし,射線
18,最短攻撃距離,0,0,50
18,最長攻撃距離,150,50,200
18,構え開始距離,150,100,300
18,構え解除距離,0,0,50
18,攻撃演算性能,50,0,100
18,攻撃左右範囲,45,0,180
18,攻撃上下範囲,45,0,180
18,FCS異常時反応,OFF,ON,OFF
19,構え判定,判定なし,判定なし,射線
19,最短攻撃距離,100,50,150
19,最長攻撃距離,250,200,300
19,構え開始距離,250,200,400
19,構え解除距離,100,0,150
19,攻撃演算性能,60,0,100
19,攻撃左右範囲,35,0,180
19,攻撃上下範囲,35,0,180
19,FCS異常時反応,OFF,ON,OFF
20,構え判定,判定なし,判定なし,射線
20,最短攻撃距離,200,150,250
20,最長攻撃距離,350,300,400
20,構え開始距離,350,300,500
20,構え解除距離,200,0,250
20,攻撃演算性能,70,0,100
20,攻撃左右範囲,25,0,180
20,攻撃上下範囲,25,0,180
20,FCS異常時反応,OFF,ON,OFF
21,構え判定,判定なし,判定なし,射線
21,最短攻撃距離,300,250,350
21,最長攻撃距離,500,400,650
21,構え開始距離,500,400,800
21,構え解除距離,300,0,350
21,攻撃演算性能,80,0,100
21,攻撃左右範囲,20,0,180
21,攻撃上下範囲,20,0,180
21,FCS異常時反応,OFF,ON,OFF
22,構え判定,判定なし,判定なし,射線
22,最短攻撃距離,500,300,700
22,最長攻撃距離,1000,800,1200
22,構え開始距離,1000,800,1400
22,構え解除距離,500,0,700
22,攻撃演算性能,90,0,100
22,攻撃左右範囲,15,0,180
22,攻撃上下範囲,15,0,180
22,FCS異常時反応,OFF,ON,OFF
23,構え判定,判定なし,判定なし,射線
23,最短攻撃距離,0,0,50
23,最長攻撃距離,150,50,200
23,構え開始距離,150,100,300
23,構え解除距離,0,0,50
23,攻撃演算性能,50,0,100
23,攻撃限界EN率,30,0,100
23,FCS異常時反応,OFF,ON,OFF
24,構え判定,判定なし,判定なし,射線
24,最短攻撃距離,100,50,150
24,最長攻撃距離,250,200,300
24,構え開始距離,250,200,400
24,構え解除距離,100,0,150
24,攻撃演算性能,60,0,100
24,攻撃限界EN率,30,0,100
24,FCS異常時反応,OFF,ON,OFF
25,構え判定,判定なし,判定なし,射線
25,最短攻撃距離,200,150,250
25,最長攻撃距離,350,300,400
25,構え開始距離,350,300,500
25,構え解除距離,200,0,250
25,攻撃演算性能,70,0,100
25,攻撃限界EN率,30,0,100
25,攻撃時チャージ率,50,0,100
25,FCS異常時反応,OFF,ON,OFF
26,構え判定,判定なし,判定なし,射線
26,最短攻撃距離,300,250,350
26,最長攻撃距離,500,400,650
26,構え開始距離,500,400,800
26,構え解除距離,300,0,350
26,攻撃演算性能,80,0,100
26,攻撃限界EN率,30,0,100
26,攻撃時チャージ率,50,0,100
26,FCS異常時反応,OFF,ON,OFF
27,構え判定,判定なし,判定なし,射線
27,最短攻撃距離,500,300,700
27,最長攻撃距離,1000,800,1200
27,構え開始距離,1000,800,1400
27,構え解除距離,500,0,700
27,攻撃演算性能,90,0,100
27,攻撃限界EN率,30,0,100
27,攻撃時チャージ率,80,0,100
27,FCS異常時反応,OFF,ON,OFF
28,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
28,最短攻撃距離,0,0,50
28,最長攻撃距離,50,10,100
28,最短装備距離,0,0,50
28,最長装備距離,50,10,100
28,攻撃演算性能,50,0,100
28,攻撃限界EN率,40,0,100
28,攻撃左右範囲,30,0,360
28,攻撃上下範囲,30,0,360
28,FCS異常時反応,OFF,ON,OFF
29,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
29,最短攻撃距離,0,0,50
29,最長攻撃距離,50,10,100
29,最短装備距離,0,0,50
29,最長装備距離,50,10,100
29,攻撃演算性能,50,0,100
29,攻撃左右範囲,30,0,360
29,攻撃上下範囲,30,0,360
29,FCS異常時反応,OFF,ON,OFF
30,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
30,最短攻撃距離,0,0,50
30,最長攻撃距離,150,50,200
30,最短装備距離,0,0,50
30,最長装備距離,150,100,250
30,配置制限距離,100,0,500
30,再射出条件数,3,0,4
31,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
31,最短攻撃距離,100,50,150
31,最長攻撃距離,250,200,300
31,最短装備距離,100,50,150
31,最長装備距離,250,200,300
31,配置制限距離,100,0,500
31,再射出条件数,3,0,4
32,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
32,最短攻撃距離,200,150,250
32,最長攻撃距離,350,300,400
32,最短装備距離,200,150,250
32,最長装備距離,350,300,400
32,配置制限距離,100,0,500
32,再射出条件数,3,0,4
33,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
33,最短攻撃距離,300,250,350
33,最長攻撃距離,500,400,650
33,最短装備距離,300,250,350
33,最長装備距離,500,400,650
33,配置制限距離,100,0,500
33,再射出条件数,3,0,4
34,搭載位置,L ARM UNIT,L ARM UNIT,L HANGER UNIT
34,強制装備残AP,5000,0,50000
34,装備条件 被弾量,2000,0,10000
34,装備条件 被弾属性,ANY,ANY,KE,CE,TE
34,装備解除条件,10.0,0.0,60.0
